username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
martafatram,1691435499.3604686,False,False,False,True,True,karolina_pisarek,False,False
q_i810,1691435569.9910605,False,False,False,False,False,karolina_pisarek,False,False
declaneg__o,1691435637.2336278,False,False,False,False,False,karolina_pisarek,False,False
kruadrianna,1691435679.013112,False,False,False,True,True,karolina_pisarek,False,False
ewa.winiarska74,1691435772.2975185,False,True,False,False,False,karolina_pisarek,False,False
florencebylusiaa,1691435847.9694784,True,False,False,False,False,karolina_pisarek,False,True
anjadeja,1691435901.226073,False,False,False,False,True,karolina_pisarek,False,False
szym0nn.09,1691435974.0022705,False,False,False,False,False,thenitrozyniak,False,False
x_nie.znasz_,1691436006.4221442,False,False,False,False,False,thenitrozyniak,False,False
ilyromancexx,1691436069.0045254,False,True,False,False,False,thenitrozyniak,False,False
ilovecookies4611,1691436121.7563822,False,True,False,False,False,thenitrozyniak,False,False
tome.k442,1691436155.997487,False,False,False,False,False,thenitrozyniak,False,False
damian_karda,1691436214.688913,False,True,False,False,False,thenitrozyniak,False,False
wofs.news,1691436289.820438,False,False,False,False,False,thenitrozyniak,False,False
egotopqq,1691436328.1174097,False,False,False,False,False,thenitrozyniak,False,False
hi_spike0025,1691436388.340875,False,False,False,True,False,thenitrozyniak,False,False
kubus.swag,1691436461.3880632,False,False,False,False,False,thenitrozyniak,False,False
kontostalkerskie123,1691436514.0655744,False,True,False,False,False,thenitrozyniak,False,False
to.natala,1691436559.048413,False,False,False,False,True,thenitrozyniak,False,False
pv.ameliasztuka09,1691436620.0737753,False,True,False,False,False,thenitrozyniak,False,False
amelia_s.2106,1691436687.0267894,False,False,False,False,False,thenitrozyniak,True,False
ans00n_,1691436728.8360512,False,False,False,True,True,thenitrozyniak,False,False
puuszek_21,1691436806.139453,False,True,False,False,False,thenitrozyniak,False,False
bmcclark,1691436838.4001677,False,False,False,False,False,thenitrozyniak,False,False
bawermanclayton,1691436911.1809075,True,False,False,False,False,thenitrozyniak,False,True
da.wid9674,1691436953.816264,False,False,False,False,False,thenitrozyniak,False,False
